WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples

/Plugins/iZotope Hybrid Reverb/Auditorium.wav	0xFFFE	2	0x00000003	48000	288000	6	24	83236
/Plugins/iZotope Hybrid Reverb/Car Interior.wav	0xFFFE	2	0x00000003	48000	288000	6	24	23621
/Plugins/iZotope Hybrid Reverb/Cavern.wav	0xFFFE	2	0x00000003	48000	288000	6	24	97526
/Plugins/iZotope Hybrid Reverb/Church.wav	0xFFFE	2	0x00000003	48000	288000	6	24	179809
/Plugins/iZotope Hybrid Reverb/City Center.wav	0xFFFE	2	0x00000003	48000	288000	6	24	156676
/Plugins/iZotope Hybrid Reverb/City Streets.wav	0xFFFE	2	0x00000003	48000	288000	6	24	112337
/Plugins/iZotope Hybrid Reverb/Forest.wav	0xFFFE	2	0x00000003	48000	288000	6	24	76018
/Plugins/iZotope Hybrid Reverb/Medium Metal Room.wav	0xFFFE	2	0x00000003	48000	288000	6	24	64472
/Plugins/iZotope Hybrid Reverb/Medium Wood Hall.wav	0xFFFE	2	0x00000003	48000	288000	6	24	43884
/Plugins/iZotope Hybrid Reverb/Medium Wood Room.wav	0xFFFE	2	0x00000003	48000	288000	6	24	35595
/Plugins/iZotope Hybrid Reverb/Metallic Hall.wav	0xFFFE	2	0x00000003	48000	288000	6	24	130598
/Plugins/iZotope Hybrid Reverb/Rock Wall.wav	0xFFFE	2	0x00000003	48000	288000	6	24	59245
/Plugins/iZotope Hybrid Reverb/Small Metal Room.wav	0xFFFE	2	0x00000003	48000	288000	6	24	53291
/Plugins/iZotope Hybrid Reverb/Small Wood Room.wav	0xFFFE	2	0x00000003	48000	288000	6	24	24135
/SFX/CommandKill_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	84000
/SFX/CommandOpen_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	84000
/SFX/CommandSuspend_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	84000
/SFX/DeathStinger_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	261856
/SFX/Elegy_Hurt.wav	0xFFFE	2	0x00000003	48000	288000	6	24	48000
/SFX/FirstThreat_CombatEnd_189bpm_6-8_L2M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	392928
/SFX/FirstThreat_Phase1_Layer1_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1900256
/SFX/FirstThreat_Phase1_Layer2_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1900256
/SFX/FirstThreat_Phase1_Layer3_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1900256
/SFX/FirstThreat_Phase2Transition_189bpm_6-8_L2M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	392928
/SFX/FirstThreat_Phase2_Layer1_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1769184
/SFX/FirstThreat_Phase2_Layer2_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1769184
/SFX/FirstThreat_Phase2_Layer3_189bpm_6-8_L16M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1048288
/SFX/FirstThreat_Phase2_Layer4_189bpm_6-8_L32M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1769184
/SFX/FirstThreat_Phase3Transition_189bpm_6-8_L16M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1113824
/SFX/FirstThreat_Phase3_Layer1_189bpm_6-8_L16M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1113824
/SFX/FirstThreat_Phase3_Layer2_189bpm_6-8_L16M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1048288
/SFX/FirstThreat_Phase3_Layer3_189bpm_6-8_L16M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1048288
/SFX/FirstThreat_Pre-Entry_189bpm_6-8_L3M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	589536
/SFX/OptionSelect_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	48000
/SFX/ServerReset_SFX.wav	0xFFFE	2	0x00000003	48000	288000	6	24	327392
/SFX/Threat_MainTheme_120bpm_4-4_L17M_P1M.wav	0xFFFE	2	0x00000003	48000	288000	6	24	2031616
